tweet,cmi,pp_en,pp_my,perp_ratio,particle_count,manglish_patterns,grammar_patterns,manglish_score,en_words,my_words,unknown_words,category,pp_diff
jangankan batu kali batu bata pun boleh asal nggak kena gua,19.999999999999996,44463.71539419427,27705.05599988635,0.6230935888795264,0,0,0,0.0,2,8,1,Weak Code-Mixing,-16758.659394307917
proud baby yoda moment,0.0,38036.04366633882,27268.336164027653,0.7169077941762807,0,0,0,0.0,3,0,1,Monolingual English,-10767.707502311165
ne sik rindok dapat cuti free hari raya klk thank you maltimur,40.0,30525.677829435037,25042.68749698107,0.8203810456530837,0,0,0,0.0,4,6,2,Mesolect (Strong Mixing),-5482.990332453966
tadi pagi ngide lagi mau dengerin ost drakor trus malah nyasar ke ost drakor lawas dan ketemu ostnya city hunter yg,40.0,43575.53153045636,39392.56600388715,0.9040065518501914,1,0,0,0.09523809523809523,6,9,6,Mesolect (Strong Mixing),-4182.965526569213
ramai yang tak tahu kewujudan bazar raya dekat persada kalau tahu better pergi sini berbanding angsana,25.0,43898.98288787049,16515.521232918873,0.3762164894595359,0,0,0,0.0,4,12,0,Monolingual Malay,-27383.461654951614
just atkmb thingsatk mohun bagan tried to sign diego costa but the former chelsea and atletico madrid striker was n,18.75,23246.182585166694,35761.963824641716,1.5384015716826254,0,0,0,0.0,13,3,4,Weak Code-Mixing,12515.781239475022
for your sharing pedalspot pandan indah,40.0,23870.936124294487,18343.892939758334,0.7684613977534361,0,0,0,0.0,3,2,1,Mesolect (Strong Mixing),-5527.043184536153
siapa yg tak sihat boleh cuba tonik tok ayah utk tempahan sila klik link wasap,21.42857142857143,43974.19882787107,15617.465893715847,0.35515066357087144,0,0,0,0.0,3,11,1,Monolingual Malay,-28356.732934155225
thu today is my th baptismal anniversary thank you jesus,11.111111111111116,18755.428784481766,25913.960073182054,1.3816778262421414,0,0,0,0.0,8,1,1,Weak Code-Mixing,7158.531288700287
its give away wl with this tweet in hours join discord rt,9.090909090909093,19860.289257140976,42298.63814535394,2.129809772541204,0,0,0,0.0,10,1,1,Monolingual English,22438.348888212968
my twitter my diary,0.0,14892.670241266942,33770.33852757765,2.2675811644577686,0,0,0,0.0,4,0,0,Monolingual English,18877.668286310713
hyped for this presale public presale on pinksale at utc initial mark,9.090909090909093,34915.905066663356,49116.330579484566,1.4067036350828936,0,0,0,0.0,10,1,1,Weak Code-Mixing,14200.42551282121
kedai bukak tapi dah ramai beratoq marah oghang penang sebab ni port rahsie depa,15.384615384615385,44070.33978446114,21897.861875822415,0.4968843440490883,0,0,0,0.0,2,11,1,Weak Code-Mixing,-22172.477908638724
disini sudah mo jam gimana dongs eheh,50.0,45464.76737515888,47580.46704813444,1.0465349279260039,0,0,0,0.0,3,3,1,Mesolect (Strong Mixing),2115.6996729755556
till we meet again,0.0,20776.744031295137,26572.599476987365,1.2789587933971835,0,0,0,0.0,4,0,0,Monolingual English,5795.855445692228
supporters apparently forget that the coward tried to flee after the last ge same as musa who then claimed to be very,13.636363636363635,13338.008866881084,30128.554624537155,2.258849497344975,0,0,0,0.0,19,3,0,Monolingual English,16790.545757656073
how many more hazaras have to die so that you take action,0.0,7924.777260347666,24250.904805407794,3.0601370876061553,0,0,0,0.0,11,0,1,Monolingual English,16326.127545060128
waspada lurd ini lho tadi sore terekam cctv aksi pencuri gondol tabung gas milik penjual bakmi di perempatan budegan,35.71428571428571,43680.872265393045,54803.60297766563,1.2546361859418445,0,0,0,0.0,5,9,5,Mesolect (Strong Mixing),11122.730712272583
its coming home the queen elizabeth ii barbie doll is sold out in the us but i was able to buy it on time,12.5,9166.888162969755,23613.85021263739,2.5759941424863326,0,0,0,0.0,21,3,0,Monolingual English,14446.962049667634
so i read the manga but stopped years ago,0.0,11008.815054225412,25727.587171799096,2.3369987637247402,0,0,0,0.0,9,0,0,Monolingual English,14718.772117573684
ingatkan tahun ni raya beristeri rupanya belum lagi huhu tunggu jelah banyak benda nak kene recover banyak benda,23.529411764705888,43742.08339737582,20842.771360214734,0.47649242426036653,0,0,0,0.0,4,13,1,Mesolect (Strong Mixing),-22899.312037161086
ish ish ish sian dia,19.999999999999996,46487.172916146024,6487.0938701411815,0.13954588896689113,0,0,0,0.0,4,1,0,Monolingual Malay,-40000.079046004845
photovol blue chypre pm kst,33.333333333333336,46495.73305200569,64360.59194961148,1.384225771376136,0,0,0,0.0,2,1,2,Mesolect (Strong Mixing),17864.858897605787
yaudah lah yahhh emg typo udah makanan jempol sehari hariii,42.85714285714286,44644.4765798893,59560.445389283035,1.3341055815203091,0,0,0,0.0,3,4,3,Mesolect (Strong Mixing),14915.968809393737
hhiiihhh ojo sek koe iseh nganggur biaya sekolah anak ku larang,12.5,44463.6282709977,44307.63583838329,0.9964916845817515,0,0,0,0.0,1,7,3,Weak Code-Mixing,-155.99243261441006
kira apa ya yg cakep warnanya ungu janda keknya bagus deh atau ijo bolu pandan,23.076923076923073,43974.65060576498,29112.830700351315,0.6620366574677159,0,0,0,0.0,3,10,2,Mesolect (Strong Mixing),-14861.819905413668
jgn smpai twitter ni pun aku filter melampau la,44.44444444444444,41875.56525802531,7549.121440162531,0.18027509345001064,1,0,0,0.2222222222222222,5,4,0,Monolingual Malay,-34326.443817862775
disini motor diletak dipinggir jalan yang kuncinya nempel sekalian stnk dan bpkb pun mungkin gak akan di maling,33.333333333333336,43741.43393046296,34930.9939578459,0.7985790775258242,0,0,0,0.0,5,10,3,Mesolect (Strong Mixing),-8810.43997261706
tukang angkat beg tu la kena bawa jalan,25.0,45136.93878412489,11739.51986211518,0.2600867532967053,1,0,0,0.25,2,6,0,Monolingual Malay,-33397.41892200971
kronologi guru ngaji dipukuli batu bata disiksa semalaman dipaksa ngaku jadi begal oleh polisi please ini harus kita v,33.333333333333336,42208.32536768036,45103.039551028334,1.0685815928050182,0,0,0,0.0,6,12,1,Mesolect (Strong Mixing),2894.7141833479764
status terkini persimpangan masih ditutup sepenuhnya bagi kerja pengalihan kemalangan sila gunakan laluan alterna,21.42857142857143,44070.339794205756,44393.00550232907,1.0073216069953184,0,0,0,0.0,3,11,0,Mesolect (Strong Mixing),322.6657081233134
pet card yang sial dapet foto batu,33.333333333333336,45467.57282156469,39984.63317903469,0.8794098892402387,0,0,0,0.0,4,2,1,Mesolect (Strong Mixing),-5482.93964253
there were rumors about the size of my they are real,0.0,9672.779758651835,20573.874872676544,2.126986800694413,0,0,0,0.0,11,0,0,Monolingual English,10901.095114024709
kamu itu mantan gausah jadi beban,19.999999999999996,45899.15644807737,25628.20310137059,0.5583589129870405,0,0,0,0.0,1,4,1,Weak Code-Mixing,-20270.953346706778
relate bgt wkwkwk aku bingung sih karo cewek sing ngene ki maksudte arep pamer ngunu a ki lo sing lanang,35.71428571428571,42530.09083851892,55594.72312035525,1.3071856190347912,0,0,0,0.0,9,5,6,Mesolect (Strong Mixing),13064.632281836333
one day before jalsa,0.0,14667.419564881018,30510.564849043156,2.0801590023439585,0,1,0,0.375,3,0,1,Basilect (Manglish),15843.145284162138
di fb ada kenalan komen kat fb wadi anuar tapi kena twitter komen atau quote tweet tak boleh padam,42.10526315789473,40313.018642140065,18047.785548179752,0.4476912460560325,0,0,0,0.0,8,11,0,Mesolect (Strong Mixing),-22265.233093960313
pet card nanti ada yg ngepulls si batu,28.57142857142857,45131.63925777092,20088.13873945692,0.4451010215853854,0,0,0,0.0,5,2,1,Mesolect (Strong Mixing),-25043.500518314
tak heran dan sekarang,50.0,47322.18298427031,2965.033003010209,0.06265630230954843,0,0,0,0.0,2,2,0,Monolingual Malay,-44357.149981260096
hi and good day im looking for any internship opportunities around kl pj cyberjaya selangor in computer graphics ar v,15.000000000000002,27331.950563434664,36518.54298266976,1.3361118482163925,0,0,0,0.0,17,3,0,Weak Code-Mixing,9186.592419235094
minghao even took diving lessons prior to filming abyss his passion for his craft is amazing and admirable http,5.882352941176472,31181.193069904293,49919.03384302978,1.6009340544192012,0,0,0,0.0,16,1,2,Weak Code-Mixing,18737.840773125485
menghormati pemain yang sedang berpuasa wasit ini memberhentikan sementara pertandingan augsburg melawan mainz pada pekan ke,23.076923076923073,43886.08404148568,24664.903001611066,0.5620210492760129,1,0,0,0.125,3,10,3,Mesolect (Strong Mixing),-19221.181039874613
moveee a newbie coming thruuu,33.333333333333336,47753.243111998716,57128.68423781021,1.196330982250204,0,0,0,0.0,2,1,2,Mesolect (Strong Mixing),9375.441125811492
waspada lurd ini lho tadi sore terekam cctv aksi pencuri gondol tabung gas milik penjual bakmi di perempatan budegan pi,40.0,43625.41806347485,49347.58068189783,1.131165794448027,0,0,0,0.0,6,9,5,Mesolect (Strong Mixing),5722.162618422983
premanisme masih dominan di pasar bogor yg jaraknya hanya selemparan batu dari istana paman dari pasanga,28.57142857142857,43886.2054270871,45955.67068002337,1.0471552560262813,0,0,0,0.0,4,10,2,Mesolect (Strong Mixing),2069.465252936272
stop destroying mother earth,0.0,41237.17553723966,43637.80061353197,1.0582150703828976,0,0,0,0.0,4,0,0,Monolingual English,2400.625076292308
weh babi aku lambat tengok announcement album tu eee,44.44444444444444,44863.41476144351,47007.02388047311,1.0477807837505908,0,0,0,0.0,4,5,0,Mesolect (Strong Mixing),2143.6091190295992
make a difference by planting trees to preserve the environment for ourselves and for generations to come just make a,5.000000000000004,18681.0390332615,30441.699796601097,1.6295506766192072,0,0,0,0.0,19,1,0,Weak Code-Mixing,11760.660763339598
lelah ganti jangan kertas gunting batupilih hitam putih yang paling sedikit dia yang menang,30.76923076923077,44070.20164830058,13519.904904022987,0.30678109920888774,0,0,0,0.0,4,9,1,Monolingual Malay,-30550.29674427759
seventeen th the sun pm kst am et,14.28571428571429,34945.96094036998,56518.089910052804,1.6172996360435592,0,0,0,0.0,6,1,1,Weak Code-Mixing,21572.128969682824
emang paling salah tuh bergantung sm manusia sik,37.5,45128.33868930502,48935.38045979275,1.0843603350147246,0,0,0,0.0,3,5,0,Mesolect (Strong Mixing),3807.0417704877327
we lost all the students in yesterdays attack and left with empty class please dont write about afghans pride resili,0.0,26739.226741058003,36033.73299066066,1.347598168773182,0,0,0,0.0,18,0,2,Monolingual English,9294.506249602658
ini lagu jaman kapan nder,50.0,46486.44422995849,19731.00102308047,0.4244463380652525,0,0,0,0.0,2,2,1,Mesolect (Strong Mixing),-26755.443206878022
kerja penyelenggaraan km km arah selatan dari alor setar s ke pendang lorong kanan ditutup,19.999999999999996,44003.1153252622,27671.293237443115,0.6288485038593851,1,0,0,0.13333333333333333,3,12,0,Basilect (Manglish),-16331.822087819088
a thread of songs ruined on start with thee iconic,9.999999999999998,39069.75365914675,41243.319547945954,1.0556329560652435,0,0,0,0.0,9,1,0,Weak Code-Mixing,2173.565888799203
i need to find partner in kedah,14.28571428571429,5938.406661966693,8033.184403812769,1.3527508069230685,0,0,0,0.0,6,1,0,Weak Code-Mixing,2094.7777418460764
thnks u juga om,0.0,47431.38274568188,50620.444433178774,1.0672352670930139,0,0,0,0.0,4,0,0,Monolingual English,3189.061687496891
ada namanya solasi kertas di fotokopian rb perak,16.666666666666664,45128.57444983841,19023.638768272016,0.4215430910501569,0,0,0,0.0,1,5,2,Weak Code-Mixing,-26104.935681566392
dia punya eksen serupa baru dapat personal loan dgn bank rakyat bulan tolak biro angkasa,33.333333333333336,43975.8137634776,18924.921116531932,0.4303484005621583,0,0,0,0.0,5,10,0,Mesolect (Strong Mixing),-25050.892646945667
do you like it,0.0,1821.9031637699788,8908.189471497666,4.889496680528491,0,0,0,0.0,4,0,0,Monolingual English,7086.286307727687
anak buah aku tahun kena pukul dengan cikgu tadika dia sampai macam ni sekali ya patutla dia asik nangis je bila nak han,30.434782608695656,43488.06953802755,14271.752596461414,0.3281762733565737,0,0,0,0.0,7,16,0,Monolingual Malay,-29216.316941566136
intention is deception learn to relearn and unlearn,0.0,41878.93024821564,56346.78752762062,1.3454686448210176,0,0,0,0.0,5,0,3,Monolingual English,14467.857279404976
pernah pujuk roomate dulu suruh dia balik rumah sbb dia sakit alhamdulillah dia balik jugak ptg tu dari perak ke pahang,42.85714285714286,43574.5075140032,12678.689455850881,0.2909657545016758,1,0,0,0.09523809523809523,9,12,0,Monolingual Malay,-30895.81805815232
boleh je nak mintak maaf tapi apakan daya pengikut ramai ego pun tinggi point no tu adalah penipuan yang sangat jel,33.333333333333336,43634.85321432037,14461.841300488117,0.33142866848792185,0,0,0,0.0,7,14,0,Monolingual Malay,-29173.011913832255
field set by ms dhoni next ball kieron pollard out,14.28571428571429,34773.068483179464,44482.99892483195,1.2792370896560192,0,0,0,0.0,6,1,3,Weak Code-Mixing,9709.930441652483
terobosan demi terobosan yang terus dilakukan bukan hanya isapan jempol belaka terbukti sejumlah anggota dewan meng,7.14285714285714,43885.719858156226,32252.929898593877,0.7349299499436062,0,0,0,0.0,1,13,2,Weak Code-Mixing,-11632.78995956235
their grins oh im,0.0,41330.49312996024,53112.000687976215,1.2850560606903485,0,0,0,0.0,3,0,1,Monolingual English,11781.507558015976
the breath of an injured lion is much more dangerous than his back tiger tiger roars,13.33333333333333,15293.645127815751,33840.10192086215,2.212690410823938,0,0,0,0.0,13,2,1,Monolingual English,18546.4567930464
th in malacca thank you sm baby i love you a lot,8.333333333333337,8354.541189205369,15951.724834219967,1.909347799353802,0,0,0,0.0,11,1,0,Weak Code-Mixing,7597.183645014598
choeaedol celeb support event opened for birthday anniversary on june goal period of collection april,15.384615384615385,43003.746546505434,42246.18030223012,0.9823837152547613,0,0,0,0.0,11,2,2,Weak Code-Mixing,-757.5662442753164
from the vault hung big load found another straight neighbor of mine on grindr he moans and grunts so much as,0.0,22799.401853590418,33524.825396737506,1.4704256546738337,0,0,0,0.0,20,0,1,Monolingual English,10725.423543147088
muar banar ku wn typo barok,25.0,45899.6189562458,46487.23689035694,1.012802239919928,0,0,0,0.0,1,3,2,Mesolect (Strong Mixing),587.6179341111347
those blinded by the dollars should see that people of pakistan are with imran khan,7.14285714285714,16222.811784165318,30000.69342090246,1.8492906051086277,0,0,0,0.0,13,1,1,Weak Code-Mixing,13777.88163673714
siapa yg tak sihat boleh cuba tonik tok ayah utk tempahan sila klik link wasap,21.42857142857143,43974.19882787107,15617.465893715847,0.35515066357087144,0,0,0,0.0,3,11,1,Monolingual Malay,-28356.732934155225
later nak sik yam,25.0,47329.300923163784,48739.123027950394,1.0297875116954585,0,0,0,0.0,1,3,0,Mesolect (Strong Mixing),1409.82210478661
safetys first show in penang and we will play some new tracks from our upcoming release,6.666666666666665,22183.088699549964,39485.993589854676,1.7800043143070396,0,0,0,0.0,14,1,1,Weak Code-Mixing,17302.90489030471
live stream hdkawasaki frontale vs johor darul livemelbourne city fc vs jeonnam dragons livelive,40.0,44087.45407038493,28817.10669839047,0.6536350829509097,0,0,0,0.0,6,4,4,Mesolect (Strong Mixing),-15270.347371994456
e and doing this on twitter,0.0,20819.025236225723,24750.361906886843,1.188833849138166,0,0,0,0.0,6,0,0,Monolingual English,3931.3366706611196
ini versi batu jeonghan masuk ga ya bakalan rare banget ga sih,45.45454545454546,44315.7419753362,37139.762784095685,0.838071554906284,0,0,0,0.0,6,5,1,Mesolect (Strong Mixing),-7175.979191240513
not she thought it was cute to call him out to her tl mean girl behavior,6.25,11122.530405232328,30388.17498866061,2.732127841553503,0,0,0,0.0,15,1,0,Monolingual English,19265.64458342828
kalau penang boleh rojer,0.0,47320.62530035499,12757.380403190615,0.2695945018100788,0,0,0,0.0,0,4,0,Monolingual Malay,-34563.244897164375
selangor journal sea games keep healthy do not use covid as an excuse says cdm,26.66666666666667,27429.096314625916,35323.227357228236,1.2878013534260317,0,0,0,0.0,11,4,0,Mesolect (Strong Mixing),7894.131042602319
wheels up out now,0.0,20251.66053248339,32173.675242292415,1.5886931933648736,0,0,0,0.0,4,0,0,Monolingual English,11922.014709809024
ayo saudarku semua setanah air kita ikut aksi mahasiswa dan rakyat besok tgl april,30.76923076923077,44071.85919072656,24281.86822457009,0.5509608323871074,0,0,0,0.0,4,9,1,Mesolect (Strong Mixing),-19789.990966156467
sending you so much love for him i know how difficult this is for you both horrible for you to see him in p,0.0,5116.732862078933,17367.558891514553,3.3942672716468723,0,0,0,0.0,24,0,0,Monolingual English,12250.826029435619
live stream hdkawasaki frontale vs johor darul livemelbourne city fc vs jeonnam dragons livelive,40.0,44087.45407038493,28817.10669839047,0.6536350829509097,0,0,0,0.0,6,4,4,Mesolect (Strong Mixing),-15270.347371994456
chenle pushing haechan in a cart,0.0,22473.471270300168,37900.11950343297,1.6864381584664183,0,0,0,0.0,4,0,2,Monolingual English,15426.648233132804
i found this cute baju kurung kedah cotton girls je like seriously,33.333333333333336,23103.337047020595,27657.18678261092,1.1971078778066646,0,0,0,0.0,8,4,0,Mesolect (Strong Mixing),4553.849735590324
water is a blessing,0.0,15420.194982654106,28266.792760823315,1.8331021619778551,0,0,0,0.0,4,0,0,Monolingual English,12846.597778169209
semoga dipermudahkan urusan umrah buat dato sri siti nurhaliza sekeluarga nanti,9.090909090909093,44463.6282709977,7028.191504527893,0.15806608182517962,0,0,0,0.0,1,10,0,Monolingual Malay,-37435.43676646981
once a teacher forever a teacher i miss my kids flourish successfully all of you and be good btw this was yea,0.0,13202.925004525438,30766.392775099666,2.3302709637867496,0,0,0,0.0,21,0,1,Monolingual English,17563.46777057423
shbtku zulaikha yg ddk d kg sabah baru lahad datu tbakar ptg spinggang dgn ad yg sudi bantu sedekah,29.411764705882348,43683.33528171995,43160.797957661125,0.9880380625543149,0,0,0,0.0,5,12,2,Mesolect (Strong Mixing),-522.5373240588233
takde staff la tu kot tu la buat lagi aniaya dekat staff eei geram,38.46153846153846,44080.694538512296,12706.877776407944,0.2882640101168605,1,0,0,0.14285714285714285,5,8,1,Monolingual Malay,-31373.816762104354
ini batu bata katolik kan ma,40.0,45901.16053882574,14308.203626201153,0.3117176877063595,1,0,0,0.3333333333333333,3,2,1,Monolingual Malay,-31592.956912624584
family route for route guidance for families and ladies coming from ring road shahdara gt road and sial,5.882352941176472,39391.280706037374,45073.06199130732,1.1442395673212806,0,0,0,0.0,16,1,1,Weak Code-Mixing,5681.781285269943
live stream hdkawasaki frontale vs johor darul livemelbourne city fc vs jeonnam dragons livelive,40.0,44087.45407038493,28817.10669839047,0.6536350829509097,0,0,0,0.0,6,4,4,Mesolect (Strong Mixing),-15270.347371994456
hows your day going he used to say this daily in midnight idol did you saw the pictures simdol posted changky,0.0,16717.574693754035,41338.0676781661,2.472731148831696,0,0,0,0.0,19,0,2,Monolingual English,24620.492984412067
